2026-06-27 09:12:58,870 | INFO     | src.fetcher | Requesting https://example.com
2026-06-27 09:12:58,942 | DEBUG    | src.fetcher | Response 200 in 0.07s (559 bytes, final URL: https://example.com)
2026-06-27 09:12:58,942 | DEBUG    | src.parser | Removed 1 noise tag(s)
2026-06-27 09:12:58,942 | DEBUG    | src.parser | Content root: <body>
2026-06-27 09:12:58,943 | INFO     | src.parser | Parsed content: 131 characters
2026-06-27 09:12:58,943 | INFO     | __main__ | Saved to /Users/adamdomachowski/Desktop/coding/page_fetcher/output/example_com_2026-06-27.md
2026-06-27 09:12:59,036 | INFO     | src.fetcher | Requesting https://example.com
2026-06-27 09:12:59,106 | DEBUG    | src.fetcher | Response 200 in 0.07s (559 bytes, final URL: https://example.com)
2026-06-27 09:12:59,106 | DEBUG    | src.parser | Removed 1 noise tag(s)
2026-06-27 09:12:59,106 | DEBUG    | src.parser | Content root: <body>
2026-06-27 09:12:59,107 | INFO     | src.parser | Parsed content: 131 characters
2026-06-27 09:12:59,107 | INFO     | __main__ | Saved to /Users/adamdomachowski/Desktop/coding/page_fetcher/output/example_com_2026-06-27.md
2026-06-27 09:13:56,031 | INFO     | src.fetcher | Requesting https://rumbomundo.com/
2026-06-27 09:13:56,639 | DEBUG    | src.fetcher | Response 200 in 0.61s (108445 bytes, final URL: https://rumbomundo.com/)
2026-06-27 09:13:56,652 | DEBUG    | src.parser | Removed 24 noise tag(s)
2026-06-27 09:13:56,653 | DEBUG    | src.parser | Content root: <body>
2026-06-27 09:13:56,670 | INFO     | src.parser | Parsed content: 7114 characters
2026-06-27 09:13:56,671 | INFO     | __main__ | Saved to /Users/adamdomachowski/Desktop/coding/page_fetcher/output/rumbomundo_com_2026-06-27.md
2026-06-27 09:18:14,695 | INFO     | src.crawler | [1/60] depth 0: https://rumbomundo.com
2026-06-27 09:18:14,695 | INFO     | src.fetcher | Requesting https://rumbomundo.com
2026-06-27 09:18:15,339 | DEBUG    | src.fetcher | Response 200 in 0.64s (108445 bytes, final URL: https://rumbomundo.com)
2026-06-27 09:18:15,351 | DEBUG    | src.parser | Removed 24 noise tag(s)
2026-06-27 09:18:15,352 | DEBUG    | src.parser | Content root: <body>
2026-06-27 09:18:15,368 | INFO     | src.parser | Parsed content: 7114 characters
2026-06-27 09:18:15,377 | DEBUG    | src.parser | Found 79 same-domain link(s)
2026-06-27 09:18:15,882 | INFO     | src.crawler | [2/60] depth 1: https://rumbomundo.com/iceland/travel-guides
2026-06-27 09:18:15,882 | INFO     | src.fetcher | Requesting https://rumbomundo.com/iceland/travel-guides
2026-06-27 09:18:16,468 | DEBUG    | src.fetcher | Response 200 in 0.59s (87193 bytes, final URL: https://rumbomundo.com/iceland/travel-guides/)
2026-06-27 09:18:16,481 | DEBUG    | src.parser | Removed 24 noise tag(s)
2026-06-27 09:18:16,481 | DEBUG    | src.parser | Content root: <body>
2026-06-27 09:18:16,496 | INFO     | src.parser | Parsed content: 5709 characters
2026-06-27 09:18:16,502 | DEBUG    | src.parser | Found 70 same-domain link(s)
2026-06-27 09:18:17,007 | INFO     | src.crawler | [3/60] depth 1: https://rumbomundo.com/best-time-to-visit-iceland
2026-06-27 09:18:17,007 | INFO     | src.fetcher | Requesting https://rumbomundo.com/best-time-to-visit-iceland
2026-06-27 09:18:17,595 | DEBUG    | src.fetcher | Response 200 in 0.59s (183368 bytes, final URL: https://rumbomundo.com/best-time-to-visit-iceland/)
2026-06-27 09:18:17,607 | DEBUG    | src.parser | Removed 26 noise tag(s)
2026-06-27 09:18:17,607 | DEBUG    | src.parser | Content root: <article>
2026-06-27 09:18:17,629 | INFO     | src.parser | Parsed content: 43071 characters
2026-06-27 09:18:17,642 | DEBUG    | src.parser | Found 100 same-domain link(s)
2026-06-27 09:18:18,145 | INFO     | src.crawler | [4/60] depth 1: https://rumbomundo.com/iceland-trip-costs
2026-06-27 09:18:18,145 | INFO     | src.fetcher | Requesting https://rumbomundo.com/iceland-trip-costs
2026-06-27 09:18:18,699 | DEBUG    | src.fetcher | Response 200 in 0.55s (116666 bytes, final URL: https://rumbomundo.com/iceland-trip-costs/)
2026-06-27 09:18:18,709 | DEBUG    | src.parser | Removed 25 noise tag(s)
2026-06-27 09:18:18,709 | DEBUG    | src.parser | Content root: <article>
2026-06-27 09:18:18,723 | INFO     | src.parser | Parsed content: 22192 characters
2026-06-27 09:18:18,732 | DEBUG    | src.parser | Found 89 same-domain link(s)
2026-06-27 09:18:19,236 | INFO     | src.crawler | [5/60] depth 1: https://rumbomundo.com/iceland/self-drive-plans
2026-06-27 09:18:19,236 | INFO     | src.fetcher | Requesting https://rumbomundo.com/iceland/self-drive-plans
2026-06-27 09:18:19,690 | DEBUG    | src.fetcher | Response 200 in 0.45s (86966 bytes, final URL: https://rumbomundo.com/iceland/self-drive-plans/)
2026-06-27 09:18:19,696 | DEBUG    | src.parser | Removed 24 noise tag(s)
2026-06-27 09:18:19,696 | DEBUG    | src.parser | Content root: <body>
2026-06-27 09:18:19,704 | INFO     | src.parser | Parsed content: 5520 characters
2026-06-27 09:18:19,712 | DEBUG    | src.parser | Found 69 same-domain link(s)
2026-06-27 09:18:20,217 | INFO     | src.crawler | [6/60] depth 1: https://rumbomundo.com/short-self-drive-in-iceland-3-to-7-days
2026-06-27 09:18:20,217 | INFO     | src.fetcher | Requesting https://rumbomundo.com/short-self-drive-in-iceland-3-to-7-days
2026-06-27 09:18:20,752 | DEBUG    | src.fetcher | Response 200 in 0.54s (239666 bytes, final URL: https://rumbomundo.com/short-self-drive-in-iceland-3-to-7-days/)
2026-06-27 09:18:20,767 | DEBUG    | src.parser | Removed 27 noise tag(s)
2026-06-27 09:18:20,768 | DEBUG    | src.parser | Content root: <article>
2026-06-27 09:18:20,798 | INFO     | src.parser | Parsed content: 79303 characters
2026-06-27 09:18:20,813 | DEBUG    | src.parser | Found 155 same-domain link(s)
2026-06-27 09:18:21,318 | INFO     | src.crawler | [7/60] depth 1: https://rumbomundo.com/around-iceland-a-7-to-13-day-itinerary-for-spring-to-autumn-complete-self-drive-guide
